optgroup, England
0290,Burra Voe (Yell Sound) 
0291,Burra Firth 
0292,Bluemull Sound 
0293,SULLOM VOE 
0294,Hillswick 
0295,Scalloway 
0296,Bay Of Quendale 
0297,Stroma 
0298,Scrabster 
0299,Sule Skerry 
0300,Portnancon 
0301,Kyle Of Durness 
0304,Rona 
0308,STORNOWAY 
0309,Loch Shell 
0310,E. Loch Tarbert 
0311,Loch Maddy 
0312,Loch Skiport 
0313,Loch Boisdale 
0314,Barra (North Bay) 
0316,Barra Head 
0317,Shillay 
0318,Balivanich 
0320,West Loch Tarbert 
0321,Little Bernera 
0322,St. Kilda 
0323,Flannan Isles 
0324,Rockall 
0327,Kinlochbervie 
0328,Loch Laxford 
0329,Badcall Bay 
0330,Loch Nedd 
0332,Loch Inver 
0333,Tanera Mor 
0334,ULLAPOOL 
0336,Mellon Charles 
0337,Gairloch 
0338,Shieldaig 
0339,Plockton 
0340,Loch A' Bhraige 
0341,Broadford Bay 
0342,Portree 
0343,Loch Snizort (Uig Bay) 
0344,Loch Dunvegan 
0345,Loch Harport 
0349,Kyle Of Lochalsh 
0351,Glenelg Bay 
0352,Loch Hourn 
0353,Inverie Bay 
0354,Bay Of Laig 
0355,Loch Moidart 
0357,Gott Bay 
0359,Carsaig Bay (Mull) 
0360,Iona 
0361,Bunessan 
0362,Sound Of Ulva 
0363,Salen 
0364,Tobermory 
0367,Corran 
0368,Corpach 
0370,Port Appin 
0371,Dunstaffnage Bay 
0372,OBAN 
0373,Seil Sound 
0374,Scalasaig 
0375,Glengarrisdale Bay 
0377,Rubh' A' Mhail 
0378,Ardnave Point 
0379,Orsay 
0380,Bruichladdich 
0381,Port Ellen 
0382,Port Askaig 
0383,Craighouse 
0384,Loch Beag 
0387,Carsaig Bay 
0389,Sound Of Gigha 
0391,Southend (Kintyre) 
0393,Campbeltown 
0394,East Loch Tarbert 
0395,Inveraray 
0396,Rubha A' Bhodaich 
0398,Millport 
0399,Rothesay Bay 
0401,Arrochar 
0402,Rosneath 
0403,Helensburgh 
0404,GREENOCK 
0405,Port Glasgow 
0406,Bowling 
0407,Glasgow 
0408,Brodick Bay 
0410,Ardrossan 
0411,Irvine 
0412,Troon 
0413,Ayr 
0414,Girvan 
0415,Portpatrick 
0419,Drummore 
0420,Luce Bay (Offshore Platform) 
0421,Isle Of Whithorn 
0424,Hestan Island 
optgroup, Northern Ireland
0627,Cranfield Point 
0628,Warrenpoint 
0629,Kilkeel 
0630,Newcastle (N.Ireland) 
0631,Ardglass 
0632,Killard Point 
0633,Strangford 
0635,South Rock 
0636,Portavogie 
0637,Donaghadee 
0638,BELFAST 
0639,Carrickfergus 
0641,LARNE 
0643,Red Bay 
0644,Cushendun 
0651,Ballycastle Bay 
0652,Portrush 
0653,Coleraine 
0657,Culmore Point 
0658,RIVER FOYLE (LISAHALLY) 
0659,Londonderry 
optgroup, Channel Islands
1603,Braye 
1604,ST. PETER PORT 
1605,ST. HELIER 
1606,St. Catherine Bay 
1607,Les Ecrehou 
1608,Les Minquiers 
optgroup, Isle of Man
0466,Peel 
0467,Ramsey 
0468,Douglas 
0469,Calf Sound 
