optgroup, United States
9241,Newport (Yaquina River) 
9242,Yaquina 
9243,Waldport 
9245,Siuslaw River Entrance 
9246,Florence 
9249,Umpqua River Entrance 
9250,Gardiner 
9252,Charleston (Coos Bay) 
9253,Port Of Coos Bay 
9254,Bandon 
9256,Port Orford 
9259,Wedderburn 
9262,Chetco Cove 
9264,Crescent City 
9268,Trinidad Harbour 
9270,North Spit 
9271,Eureka (Humboldt Bay) 
9281,Shelter Cove 
9284,Fort Bragg Landing 
9287,Point Arena 
9288,Arena Cove 
9290,Fort Ross Cove 
9293,Point Reyes 
9295,South East Farallon Island 
9296,Point San Quentin 
9297,Mare Island 
9298,Benicia 
9299,Collinsville 
9300,Three Mile Slough (Sacramento River) 
9303,Three Mile Slough (San Joaquin River) 
9304,Stockton 
9305,SAN FRANCISCO (GOLDEN GATE) 
9306,Oakland (Grove Street) 
9307,Coyote Point Marina 
9308,Dumbarton Bridge 
9309,Alameda 
9312,Halfmoon Bay 
9315,Ano Nuevo Island 
9318,Santa Cruz (Monterey Bay) 
9319,Kirby Park 
9320,Monterey 
9321,Carmel Bay 
9326,San Simeon 
9331,Port San Luis 
9335,Point Arguello 
9336,Oil Platform Harvest 
9338,Santa Barbara 
9342,Port Hueneme 
9345,Cuyler Harbour 
9346,Bechers Bay 
9347,Prisoners Harbour 
9349,Santa Monica 
9350,El Sugundo 
9351,Los Angeles Harbour 
9352,San Nicholas Island 
9353,Santa Barbara Island 
9354,Catalina Harbour 
9355,Wilson Cove 
9357,Newport Beach 
9362,La Jolla 
9364,Point Loma 
9365,SAN DIEGO 
9366,Quarantine Station 
9367,National City 
9368,Imperial Beach 
