total,ID,Country,Mapped,ID
5,173, Nicobar Islands, ,#N/A
32,174, Nigeria, Nigeria,174
22,175, Northern Ireland,United Kingdom,263
160,176, Norway, Norway,176
30,177, Oman, Oman,177
2,178, Pacific Ocean Islands, ,#N/A
7,179, Pakistan, Pakistan,179
5,180, Palau Islands, ,#N/A
18,181, Panama, Panama,181
89,182, Papua, ,#N/A
35,183, Papua New Guinea, Papua New Guinea,183
19,184, Peninsular Malaysia East Coast,Malaysia,184
11,185, Peninsular Malaysia South Coast,Malaysia,184
34,186, Peninsular Malaysia West Coast,Malaysia,184
25,187, Peru, Peru,187
127,188, Philippine Islands, Philippine Islands,188
24,189, Portugal, Portugal,189
23,190, Prince of Wales Island, ,#N/A
4,191, Puerto Rico, Puerto Rico,191
10,192, Pulau Bangka, ,#N/A
15,193, Qatar, Qatar,193
17,194, Republic of Yemen, Republic of Yemen,194
8,195, Revillagigedo Island, ,#N/A
7,196, Riau Kepulauan, ,#N/A
121,197, Russia, Russia,197
24,198, Sabah, Malaysian Borneo,184
20,199, Sakhalin East Coast, ,#N/A
15,200, Sakhalin West Coast, ,#N/A
6,201, Salvador, Salvador,201
9,202, Samoa Islands, ,#N/A
4,203, Santa Cruz Islands, ,#N/A
2,204, Sao Tome e Principe, Sao Tome e Principe,204
27,205, Sarawak, Sarawak,205
3,206, Sardinia, Sardinia,206
20,207, Saudi Arabia, Saudi Arabia,207
166,208, Scotland,United Kingdom,263
8,209, Senegal, Senegal,209
12,210, Sermata Eilanden, ,#N/A
13,211, Seychelles, ,#N/A
37,212, Siberia, Siberia,212
9,213, Sierra Leone, Sierra Leone,213
8,214, Singapore, Singapore,214
1,215, Slovenia, Slovenia,215
36,216, Solomon Islands, ,#N/A
14,217, Somalia, ,#N/A
21,218, South Africa, South Africa,218
52,219, Spain, Spain,219
12,220, Sri Lanka, Sri Lanka,220
3,221, Sudan, ,#N/A
19,222, Sulawesi East Coast, ,#N/A
4,223, Sulawesi North Coast, ,#N/A
23,224, Sulawesi West Coast, ,#N/A
16,225, Sulu Archipelago, ,#N/A
6,226, Sumatera East Coast,Sumatra,262
33,227, Sumatera North East Coast,Sumatra,262
24,228, Sumatera South West Coast,Sumatra,262
6,229, Sumba,Indonesia,262
4,230, Sumbawa, ,#N/A
4,231, Suqutra, ,#N/A
5,232, Suriname, ,#N/A
16,233, Svalbard, ,#N/A
19,234, T'ai-Wan, ,#N/A
22,235, Tanzania, Tanzania,235
23,236, Tasmania, Tasmania,236
35,237, Thailand, Thailand,237
13,238, Thailand West Coast, Thailand West Coast,238
1,239, The Congo, The Congo,239
9,240, The Gambia, ,#N/A
15,241, The Molucca Islands, ,#N/A
5,242, Timor, Timor,242
4,243, Tobago, Tobago,243
1,244, Togo, ,#N/A
1,245, Tokelau, ,#N/A
4,246, Tonga Islands, ,#N/A
15,247, Trinidad, Trinidad,247
10,248, Tuamoto (Low) Archipelago, ,#N/A
8,249, Tudjuh Kepulauan, ,#N/A
17,250, Tunisia, Tunisia,250
3,251, Turkey, Turkey,251
2,252, Turks Islands, ,#N/A
1,253, Tuvalu, Tuvalu,253
28,254, United Arab Emirates, United Arab Emirates,254
328,255, United States, United States,255
8,256, Uruguay, Uruguay,256
12,257, Vanuatu, ,#N/A
14,258, Venezuela, Venezuela,258
69,259, Vietnam, Vietnam,259
69,260, Wales,United Kingdom,263
3,261, Western Sahara, ,#N/A
9,262, Windward Islands, ,#N/A
,263,United Kingdom,United Kingdom,263
,264,Indonesia,Indonesia,262 
