optgroup, Australia 
6245,North Muiron Island 
6246,Serrurier (Long) Island 
6247,Onslow (Beadon Point) 
6248,Large Islet 
6249,WAPET LANDING 
6250,Trimouille Island 
6251,North Sandy Island 
6252,Fortescue Road 
6254,Dampier (Hampton Harbour) 
6256,Port Walcott 
6257,Depuch Island 
6259,PORT HEDLAND 
6261,Bedout Island 
6263,Lagrange Bay 
6265,Broome 
6268,Red Bluff 
6272,Lynher Bank 
6273,Scott Reef 
6274,Ashmore Reef (West Islet) 
6275,Karrakatta Bay 
6276,Point Usborne 
6278,Derby 
6284,Bedford Island 
6286,Yampi Sound (Koolan Island) 
6288,Macleay Island 
6289,Adele Island 
6290,Browse Island 
6291,Shale Island 
6292,Hall Point 
6293,Degerando Island 
6296,Skua Well No.4 
6298,Jabiru 
6299,Cape Voltaire 
6300,Baudin Island 
6301,Port Warrender 
6302,Jar Island 
6303,Carronade Island 
6304,Lesueur Island 
6305,Reveley Island 
6306,Lacrosse Island 
6307,Adolphus Island 
6308,Pender Point 
6309,Wyndham 
6310,Pelican Island 
6311,Turtle Point 
6316,Pearce Point, Australia 
6317,Port Keats 
6318,North Peron Island 
6319,Point Jenny 
6320,Tapa Bay 
6321,Burge Point 
6322,Night Cliff 
6323,DARWIN 
6324,Hancox Shoal 
6325,Cape Hotham 
6327,West Alligator Head 
6328,Two Hills Bay 
6330,Camp Point 
6332,Newby Shoal 
6333,St. Asaph Bay 
6334,Snake Bay 
6335,Echo Shoal 
6336,Cape Don 
6337,Port Essington, Australia 
6339,Cape Croker 
6340,Copeland Island 
6341,North Goulburn Island 
6342,Paxie Shoal 
6343,Entrance Island (Liverpool River) 
6344,Yabooma Island 
6345,Guluwuru Island 
6346,Two Island Bay 
6347,Mallison Island 
6348,GOVE 
6349,Cape Arnhem 
6350,Hawk Island 
6351,Port Langdon 
6352,West Island 
6353,Centre Island 
6354,Mornington Island 
6355,Bountiful Island 
6356,Sweers Island 
6358,KARUMBA 
6361,Archer River 
6362,WEIPA 
6363,Pennefather River 
6364,Cullen Point 
